userName,score,at,content,sentiment,topics
Kristina De Guzman,2,2025-03-03 14:07:19,"okay naman dito, may mga drivers na maayos, minsan naman parang barumbado. nakakadismaya lang na as a student sana bago pumasada yung mga driver e sana naman may panukli, minsan 70 pesos lang babayaran tapos 100 bayad ko tapos walang panukli edi minsan imbis na makatipid kahit papano e wala.",Negative,"Rider Performance, Payment"
Rovie Issabelle,5,2025-03-03 13:56:03,"Angkas is a fast and reliable way to get around, especially in heavy traffic. The riders are professional, and the app is easy to use.",Positive,"Rider Performance, App Performance"
Rachel Rollo,4,2025-03-03 13:21:19,Bakit may mga rider na pasaway? Ung IBA need pang itraining? Pero Buti nalang mas Madame ung ayos kaysa hinde..,Negative,Rider Performance
HooDieG Plays,5,2025-03-03 13:16:08,Angkas is very convenient especially for me who needs to travel long rides quickly. I use it daily to help me get across places quickly and smoothly. Faster pick up time too and riders are accommodating. Would recommend.,Positive,"Rider Performance, Booking Experience"
Angela Faye Tolenada,5,2025-03-03 12:13:14,very useful and convenient,Positive,Generic
MaryDes Gusi,5,2025-03-03 11:51:49,Very easy Po sa pag book ng angkas for may experience mababait naman po Ang mga to rider,Negative,"Booking Experience, Rider Performance"
Jimwell Bernardino,5,2025-03-03 11:46:40,Great app,Positive,App Performance
Aries and Dhang Berguia,5,2025-03-03 11:32:44,Great,Positive,Generic
Wheng Bautista,5,2025-03-03 11:09:26,"""Good service for public transport! Recommended for other commuters""",Positive,Generic
Jholyza Gesmundo,5,2025-03-03 10:56:10,Laging may available rider around kaya kahit saan ako mag book mabilis lang nakakapag book.,Positive,"Rider Performance, Booking Experience"
Keith Abanto,5,2025-03-03 10:41:09,Always a good experience! Keep it up.,Positive,Generic
Jesse Mark Anthony Gonzales,5,2025-03-03 09:40:43,More convenient,Positive,Generic
Jack Ryan Banto,1,2025-03-03 06:20:54,"Some of the Driver's are Irresponsible especially when a Passenger forgot some things inside their Motorcycle to be kept safe, They don't turn it over to your office and just declare it Lost.",Negative,"Rider Performance, Customer Service"
James Calderon,5,2025-03-02 15:51:35,"Ang ganda ng customer service nila, very responsive!!!",Positive,Customer Service
Triza Salvador,5,2025-03-02 15:09:19,Very convenient to use and commendable customer service,Positive,Customer Service
Eiman John Espedido,5,2025-03-02 11:47:52,"So far so good, no problems with the app and the booking times are quick in Batangas",Positive,"Booking Experience, App Performance"
Angeline Marie Guiron,5,2025-03-02 11:35:54,I don't have any issues with angkas and the driver they are all good,Positive,Rider Performance
Sarah Marie Guintivano,5,2025-03-02 10:25:01,Good app.,Positive,App Performance
Jasper Kate Concepcion,5,2025-03-02 10:17:22,Great service,Positive,Generic
Christian Joy Rebato,1,2025-03-01 19:17:08,Riders are picky. They'll only accept the booking if it has a tip. Edit: They are still picky,Negative,Rider Performance
Rolly Padilla,5,2025-03-01 16:46:34,🌟🌟🌟🌟🌟,Positive,Generic
Kent Tupaz,5,2025-03-01 13:19:44,I've had a great experience since i used this app,Positive,"Generic, App Performance"
Keth Arquilado,4,2025-03-01 11:36:27,As of now angkas experience is great 💯,Positive,Generic
Jen Mondonedo,5,2025-03-01 11:01:00,👍⭐⭐⭐⭐⭐,Positive,Generic
Symon John Agan,5,2025-03-01 10:38:59,Good service!,Positive,Generic
SAM Robles,5,2025-03-01 10:25:09,Salamat sa angkas app di na ako nalelate sa aking trabaho ⭐⭐⭐⭐⭐,Positive,App Performance
Nicole Malvs,5,2025-03-01 10:16:01,"Nice app, great drivers",Positive,"App Performance, Rider Performance"
